METADATA,,,,,,,,,,,,,
"Functional traits were assigned acronyms to ensure readability, efficiency, and consistency.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Functional Trait,Acronym,Description,,,,,,,,,,,
body size,size1,< 9mm,1,,,,,,,,,,
,size2,9-16mm,2,,,,,,,,,,
,size3,> 16mm,3,,,,,,,,,,
voltinism,volt1,univoltine,1,,,,,,,,,,
,volt2,semivoltine,2,,,,,,,,,,
,volt3,multivoltine,3,,,,,,,,,,
dispersal,disp1,aquatic passive,1,,,,,,,,,,
,disp2,aquatic active,2,,,,,,,,,,
,disp3,aer_passive,3,,,,,,,,,,
,disp4,aer_active,4,,,,,,,,,,
respiration,res1,integument,1,,,,,,,,,,
,res2,gill,2,,,,,,,,,,
,res3,plastron,3,,,,,,,,,,
ffg,feed1,coll_gath,1,,,,,,,,,,
,feed2,shredder,2,,,,,,,,,,
,feed3,scraper_grazer,3,,,,,,,,,,
,feed4,filter_feeder,4,,,,,,,,,,
,feed5,piercer_plant,5,,,,,,,,,,
,feed6,piercer_pred,6,,,,,,,,,,
,feed7,engulf_pred,7,,,,,,,,,,
diapause,dia1,dia_known,1,,,,,,,,,,
,dia2,dia_possible,2,,,,,,,,,,
,dia3,dia_notknown,3,,,,,,,,,,
locomotion,loco1,burrower,1,,,,,,,,,,
,loco2,climber,2,,,,,,,,,,
,loco3,clinger,3,,,,,,,,,,
,loco4,planktonic,4,,,,,,,,,,
,loco5,skater,5,,,,,,,,,,
,loco6,sprawler,6,,,,,,,,,,
,loco7,swimmer,7,,,,,,,,,,
