METADATA,,,
"Taxa were given a 4-5 letter acronym to ensure readability, efficiency, and consistency within the dataset. ",,,
,,,
,,,
Taxa:,Taxa acronym:,,
chironomini,chiro,,
tanytarsini,tanyt,,
orthocladiinae,ortho,,
tanypodinae,tanyp,,
atherix,athe,,
tipula,tipu,,
simulium,simu,,
hydropsyche,hydro,,
cheumatopsyche,cheu,,
parapsyche,parap,,
chimarra,chim,,
plectrocnemia,plect,,
neureclipsis,neur,,
polycentropus,poly,,
stenonema,steno,,
heptagenia,hepta,,
cinygmula,cinyg,,
stenacron,stena,,
isonychia,ison,,
procloeon,proc,,
anafroptilum,anafr,,
labiobaetis,labio,,
baetis,baet,,
caenis,caen,,
agnetina,agne,,
acroneuria,acro,,
perlinella,perli,,
perlesta,perle,,
leuctra,leuc,,
paraleuctra,paral,,
nigronia,nigr,,
boyeria,boye,,
stenogomphurus,sten,,
physa,phys,,
pisidium,pisi,,
oligochaeta,oligo,,
psephenus herricki,psep,,
dineutus,dine,,
entomobryidae,ento,,
