,body size,voltinism,dispersal,respiration,ffg,diapause,locomotion
chiro,1,3,4,2,3,3,1
tanyt,1,3,4,2,1,3,4
ortho,1,2,4,2,1,3,3
tanyp,1,2,4,2,6,3,3
athe,2,1,4,1,6,3,6
tipu,3,2,2,3,2,1,1
simu,1,3,4,2,4,3,3
hydro,2,1,4,2,4,2,3
cheu,2,1,4,2,4,2,3
parap,2,1,4,2,4,2,3
chim,2,1,4,1,4,2,3
plect,2,2,4,1,7,2,3
neur,2,3,4,1,4,2,3
poly,2,1,4,1,7,2,3
steno,2,1,4,2,3,3,3
hepta,2,1,4,2,3,3,3
cinyg,1,1,4,2,3,3,3
stena,2,1,4,2,1,3,3
ison,2,1,4,2,4,3,7
proc,1,3,4,2,1,3,7
anafr,1,3,4,2,1,3,7
labio,1,3,4,2,1,3,7
baet,1,3,4,2,1,3,7
caen,1,3,4,2,1,3,6
agne,3,2,4,2,7,2,3
acro,3,1,4,2,7,2,3
perli,3,1,4,2,7,2,3
perle,3,1,4,2,7,2,3
leuc,1,1,4,1,2,2,6
paral,1,1,4,1,2,2,6
nigr,3,1,4,2,7,3,3
boye,3,2,4,2,7,3,2
sten,2,2,4,2,7,3,1
phys,2,2,2,1,3,1,2
pisi,1,2,1,2,4,1,1
oligo,3,2,1,1,1,2,1
psep,2,2,4,2,3,2,3
dine,2,2,4,3,7,3,5
ento,1,3,2,3,1,3,5
