site_id,substrate,chironomini,tanytarsini,orthocladiinae,tanypodinae,atherix,tipula,simulium,hydropsyche,cheumatopsyche,parapsyche,chimarra,plectrocnemia,neureclipsis,polycentropus,stenonema,heptagenia,cinygmula,stenacron,isonychia,procloeon,anafroptilum,labiobaetis,baetis,caenis,agnetina,acroneuria,perlinella,perlesta,leuctra,paraleuctra,nigronia,boyeria,stenogomphurus,physa,pisidium,oligochaeta,psephenus herricki,dineutus,entomobryidae
rebar_05,ziploc,73,7,77,17,0,0,1,4,36,0,10,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rebar_05,mixed,162,0,79,0,0,1,0,9,33,0,13,0,0,0,8,1,1,0,2,0,1,1,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0
rebar_05,grocery_bag,168,4,29,4,0,0,0,7,13,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rebar_05,trash_ bag,37,6,51,4,0,0,0,0,12,0,11,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
rebar_05,leaf_litter,139,0,116,22,0,3,0,1,45,0,8,1,0,0,7,2,0,0,0,0,0,3,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0
rebar_05,compostable,49,0,41,41,0,0,0,1,15,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rebar_04,ziploc,84,0,42,8,0,0,2,1,7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0
rebar_04,mixed,113,4,39,7,1,0,0,0,6,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
rebar_04,grocery_bag,22,2,33,9,1,0,0,2,8,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
rebar_04,trash_ bag,96,5,96,35,0,0,0,0,1,0,4,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
rebar_04,leaf_litter,69,5,13,5,1,0,0,0,6,0,4,2,1,0,16,0,0,1,0,0,0,1,0,0,0,0,0,2,3,0,1,0,0,2,0,0,0,0,0
rebar_04,compostable,47,0,13,3,0,0,1,0,12,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,0,0,0
rebar_03,ziploc,37,4,26,12,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rebar_03,mixed,36,5,25,13,0,3,0,0,3,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0
rebar_03,grocery_bag,11,0,7,5,2,1,0,1,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,4,0,0
rebar_03,trash_ bag,66,7,29,37,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rebar_03,leaf_litter,17,6,6,10,0,1,0,0,3,1,3,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,3,0,0,1,0,0,0,0,2
rebar_03,compostable,37,3,20,9,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rebar_02,ziploc,8,0,4,11,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rebar_02,mixed,115,0,60,21,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0
rebar_02,grocery_bag,17,2,12,10,0,0,2,1,6,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,1,0
rebar_02,trash_ bag,55,0,78,39,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0
rebar_02,leaf_litter,82,3,35,13,0,0,0,0,4,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,0,0,0,0,1,0,0,0
rebar_02,compostable,45,2,12,5,0,0,0,2,15,0,3,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0
rebar_01,ziploc,74,2,25,6,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
rebar_01,mixed,83,0,39,0,0,1,0,1,7,0,3,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
rebar_01,grocery_bag,6,6,0,5,0,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rebar_01,trash_ bag,160,5,65,5,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
rebar_01,leaf_litter,3,3,5,3,0,0,0,2,39,0,2,0,0,0,17,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0
rebar_01,compostable,3,3,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
